天天家园,东城,2室2厅,120.47,简装,中楼层,2003年建板楼,南 北,房屋满五年-近地铁
朝阳门内大街,东城,2室1厅,66.14,精装,中楼层,1958年建板楼,南 北,房屋满五年-近地铁
北竹杆胡同,东城,2室1厅,72.43,简装,顶层,2003年建板楼,南 北,房屋满五年-近地铁
永定门东街西里,东城,2室1厅,49.37,精装,中楼层,1975年建板楼,南 北,近地铁
西堂子胡同,东城,1室1厅,49.17,简装,高楼层,1990年建板塔结合,西,房屋满五年-近地铁
国瑞城西区,东城,2室1厅,106.42,精装,中楼层,2009年建塔楼,西 北,房屋满五年-近地铁
国瑞城中区,东城,3室2厅,157.42,精装,低楼层,2006年建板楼,南 北,近地铁
安德路47号院,东城,2室1厅,61.19,精装,中楼层,板楼,东 西,房屋满两年-近地铁
东直门北大街,东城,1室1厅,42.98,精装,中楼层,1994年建塔楼,南,房屋满五年-近地铁
和平里五区,东城,1室1厅,40.98,简装,高楼层,1996年建板楼,西南,房屋满五年-近地铁
朝阳门内大街,东城,1室1厅,43.07,其他,低楼层,1992年建板楼,南 北,房屋满五年
永定门东街西里,东城,2室1厅,50.77,简装,顶层,1976年建板楼,南 北,房屋满五年
建国门北大街,东城,3室1厅,74.6,精装,高楼层,1990年建塔楼,东北,房屋满五年-近地铁
百荣嘉园,东城,1室0厅,43.73,精装,中楼层,2015年建板塔结合,西,无标签
北京上舍,东城,2室1厅,76.21,精装,中楼层,2008年建塔楼,西,房屋满五年
柏林寺西,东城,3室1厅,71.23,精装,中楼层,1994年建塔楼,东 南 西 北,近地铁
冠城名敦道A区,东城,2室1厅,93.13,简装,中楼层,2011年建塔楼,东,无标签
沙子口路61号,东城,3室1厅,71.44,简装,高楼层,1987年建板楼,东 南 西,房屋满五年
朝阳门南小街,东城,1室1厅,55.1,其他,中楼层,2004年建板塔结合,南,房屋满五年-近地铁
和平里七区,东城,1室1厅,38.5,精装,中楼层,1979年建板楼,南,房屋满两年-近地铁
天坛东里南区,东城,1室1厅,37.04,其他,中楼层,1970年建板塔结合,南,房屋满五年-近地铁
景泰东里,东城,1室1厅,51.73,精装,高楼层,1994年建板楼,南 北,房屋满五年-近地铁
沙子口路70号,东城,2室1厅,58.83,精装,高楼层,1989年建塔楼,东南 北,房屋满五年
前门东大街,东城,1室1厅,39.55,精装,顶层,1979年建板楼,南 西 北,近地铁
普渡寺东巷,东城,2室1厅,68.14,简装,底层,2003年建板楼,东 西,房屋满五年-近地铁
金鱼池西区,东城,1室1厅,45.97,精装,地下室,2002年建板楼,东,近地铁
幸福北里,东城,2室0厅,49.45,简装,顶层,板楼,南 北,房屋满五年
冠城名敦道A区,东城,2室1厅,92.12,精装,低楼层,2010年建塔楼,西,房屋满两年
